filename	dirname	run_id	run
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_0.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_1.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_2.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_3.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_4.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_5.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_6.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_7.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_8.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
FAL55789_8a2db6b91ab332b5c364c0a82f55ae996c46e18c_9.fast5	/mnt/picea/storage/data/spruce/nstreet/spruce-pine-ont/Pine_RNA/Pine_eqqui_T/20191102_1315_MN32437_FAL55789_70faa461/fast5	8a2db6b91ab332b5c364c0a82f55ae996c46e18c	pine3
